remoteip,date3,time,date,requests,req_protocol,req_method,status,Response_time,bytes_sent,referal,user_agent,virtual_host,serveid,error_level,error_message
localhost1,01-01-2013,09:45:33,'2013-01-01 09:45:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,4838,283,www.amazon.com,Opera/9.80,virtualhost1,server1,,
localhost1,01-01-2013,09:51:33,'2013-01-01 09:51:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,408,252,200,www.amazon.com,Opera/9.80,virtualhost1,server1,error,Request Timed Out: /var/www/testing.php
localhost2,01-01-2013,10:03:33,'2013-01-01 10:03:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,305,6744,www.facebook.com,Mozilla/5.0,virtualhost1,server1,,
localhost2,01-01-2013,10:09:33,'2013-01-01 10:09:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,3878,283,www.facebook.com,Crome,virtualhost1,server1,,
localhost2,01-01-2013,10:15:33,'2013-01-01 10:15:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,253,200,www.google.com,Crome,virtualhost2,server1,,
localhost3,01-01-2013,10:21:33,'2013-01-01 10:21:33',\GET /server-status?auto HTTP/,HTTP/1.0,GET,404,251,629,www.google.com,Crome,virtualhost2,server1,error,File does not exist: /var/www/favicon.php
localhost3,01-01-2013,10:27:33,'2013-01-01 10:27:33',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,1115,6743,www.google.com,Crome,virtualhost2,server1,,
localhost3,01-01-2013,10:33:33,'2013-01-01 10:33:33',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,4141,283,www.yahoo.com,IE8,virtualhost2,server1,,
localhost3,01-01-2013,10:39:33,'2013-01-01 10:39:33',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,403,237,200,www.yahoo.com,Opera/9.80,virtualhost2,server1,error,client denied by server configuration: /var/www/fa
localhost4,01-01-2013,10:45:32,'2013-01-01 10:45:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,261,628,www.yahoo.com,Opera/9.80,virtualhost2,server1,,
localhost4,01-01-2013,10:51:32,'2013-01-01 10:51:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,388,6743,www.yahoo.com,Opera/9.80,virtualhost1,server1,,
localhost4,01-01-2013,11:03:32,'2013-01-01 11:03:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,262,200,www.timesofindia.com,Crome,virtualhost1,server1,,
localhost5,01-01-2013,11:09:32,'2013-01-01 11:09:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,414,1500,627,www.timesofindia.com,Crome,virtualhost1,server1,error,Request URI Too Long: /var/www/testphp.php
localhost5,01-01-2013,11:15:32,'2013-01-01 11:15:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,400,6743,www.timesofindia.com,Crome,virtualhost1,server1,,
localhost5,01-01-2013,11:21:32,'2013-01-01 11:21:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,334,200,www.flipkart.com,Crome,virtualhost1,server1,,
localhost5,01-01-2013,11:27:32,'2013-01-01 11:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,5532,283,www.flipkart.com,IE8,virtualhost2,server1,,
localhost2,01-01-2013,11:33:32,'2013-01-01 11:33:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,400,282,629,www.flipkart.com,Opera/9.80,virtualhost2,server1,error,Bad Request
localhost4,01-01-2013,11:39:32,'2013-01-01 11:39:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,344,6743,www.flipkart.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,11:45:32,'2013-01-01 11:45:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,5311,283,www.ebay.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,11:51:32,'2013-01-01 11:51:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,350,200,www.ebay.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,11:57:32,'2013-01-01 11:57:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,233,629,www.ebay.com,Mozilla/5.0,virtualhost1,server1,,
localhost1,01-01-2013,12:03:32,'2013-01-01 12:03:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,4509,283,www.ebay.com,Crome,virtualhost1,server1,,
localhost2,01-01-2013,12:09:32,'2013-01-01 12:09:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,401,293,200,www.amazon.com,IE8,virtualhost1,server1,error,Authorization Required: /var/www/favcon.php
localhost2,01-01-2013,12:15:32,'2013-01-01 12:15:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,408,245,629,www.amazon.com,IE8,virtualhost1,server1,error,Request Timed Out: /var/www/testing.php
localhost2,01-01-2013,12:27:32,'2013-01-01 12:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,2536166,283,www.amazon.com,IE8,virtualhost1,server1,,
localhost3,01-01-2013,12:33:32,'2013-01-01 12:33:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,843,200,www.facebook.com,IE8,virtualhost2,server1,,
localhost3,01-01-2013,12:39:32,'2013-01-01 12:39:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,736,628,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost4,01-01-2013,12:45:32,'2013-01-01 12:45:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,404,842,6754,www.google.com,Opera/9.80,virtualhost2,server1,error,File does not exist: /var/www/favicon.php
localhost4,01-01-2013,12:51:32,'2013-01-01 12:51:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,6936,283,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost5,01-01-2013,12:57:32,'2013-01-01 12:57:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,338,200,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost5,01-01-2013,13:03:32,'2013-01-01 13:03:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,270,629,www.google.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,13:15:32,'2013-01-01 13:15:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,6989,283,www.facebook.com,Crome,virtualhost1,server1,,
localhost1,01-01-2013,13:21:32,'2013-01-01 13:21:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,403,308,200,www.facebook.com,Crome,virtualhost1,server1,error,client denied by server configuration: /var/www/fa
localhost1,01-01-2013,13:27:32,'2013-01-01 13:27:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,266,629,www.google.com,Opera/9.80,virtualhost1,server1,,
localhost1,01-01-2013,13:33:32,'2013-01-01 13:33:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,304,491,6746,www.yahoo.com,Opera/9.80,virtualhost1,server1,,
localhost1,01-01-2013,13:39:32,'2013-01-01 13:39:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,414,5617,283,www.yahoo.com,Mozilla/5.0,virtualhost2,server1,error,Request URI Too Long: /var/www/testphp.php
localhost2,01-01-2013,13:45:32,'2013-01-01 13:45:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,824,200,www.yahoo.com,Mozilla/5.0,virtualhost2,server1,,
localhost2,01-01-2013,13:51:32,'2013-01-01 13:51:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,400,536,629,www.yahoo.com,Crome,virtualhost2,server1,error,Bad Request
localhost2,01-01-2013,13:57:32,'2013-01-01 13:57:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,301,6746,www.yahoo.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,14:03:32,'2013-01-01 14:03:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,7104,283,www.timesofindia.com,Crome,virtualhost2,server1,,
localhost1,01-01-2013,14:09:32,'2013-01-01 14:09:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,269,200,www.timesofindia.com,Crome,virtualhost1,server1,,
localhost1,01-01-2013,14:15:32,'2013-01-01 14:15:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,401,249,628,www.timesofindia.com,Crome,virtualhost2,server1,error,Authorization Required: /var/www/favcon.php
localhost1,01-01-2013,14:21:32,'2013-01-01 14:21:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,709,6747,www.timesofindia.com,IE8,virtualhost2,server1,,
localhost1,01-01-2013,14:27:32,'2013-01-01 14:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,408,7823,283,www.timesofindia.com,IE8,virtualhost2,server1,error,Request Timed Out: /var/www/testing.php
localhost1,01-01-2013,14:33:32,'2013-01-01 14:33:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,811,200,www.flipkart.com,Opera/9.80,virtualhost2,server1,,
localhost2,01-01-2013,14:45:32,'2013-01-01 14:45:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,403,375,6746,www.flipkart.com,Opera/9.80,virtualhost1,server1,error,client denied by server configuration: /var/www/fa
localhost2,01-01-2013,14:51:32,'2013-01-01 14:51:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,5732,283,www.flipkart.com,Opera/9.80,virtualhost1,server1,,
localhost2,01-01-2013,14:57:32,'2013-01-01 14:57:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,227,200,www.flipkart.com,Opera/9.80,virtualhost1,server1,,
localhost2,01-01-2013,15:03:32,'2013-01-01 15:03:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,644,629,www.ebay.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,15:09:32,'2013-01-01 15:09:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,587,6746,www.ebay.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,15:15:32,'2013-01-01 15:15:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,4949,283,www.ebay.com,Crome,virtualhost2,server1,,
localhost3,01-01-2013,15:21:32,'2013-01-01 15:21:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,414,735,200,www.ebay.com,Crome,virtualhost1,server1,error,Request URI Too Long: /var/www/testphp.php
localhost3,01-01-2013,15:27:32,'2013-01-01 15:27:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,678,629,www.ebay.com,Crome,virtualhost2,server1,,
localhost3,01-01-2013,15:33:32,'2013-01-01 15:33:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,396,6746,www.amazon.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,15:39:32,'2013-01-01 15:39:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,5690,283,www.amazon.com,Crome,virtualhost2,server1,,
localhost4,01-01-2013,15:45:32,'2013-01-01 15:45:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,654,200,www.amazon.com,IE8,virtualhost1,server1,,
localhost4,01-01-2013,15:51:32,'2013-01-01 15:51:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,400,743,629,www.amazon.com,IE8,virtualhost1,server1,error,Bad Request
localhost4,01-01-2013,15:57:32,'2013-01-01 15:57:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,1456,6746,www.amazon.com,IE8,virtualhost1,server1,,
localhost5,01-01-2013,16:09:32,'2013-01-01 16:09:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,353,200,www.facebook.com,IE8,virtualhost1,server1,,
localhost5,01-01-2013,16:15:32,'2013-01-01 16:15:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,447,629,www.facebook.com,Opera/9.80,virtualhost1,server1,,
localhost5,01-01-2013,16:21:32,'2013-01-01 16:21:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,374,6745,www.facebook.com,Opera/9.80,virtualhost2,server1,,
localhost5,01-01-2013,16:27:32,'2013-01-01 16:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,304,6402,283,www.facebook.com,Opera/9.80,virtualhost2,server1,,
localhost5,01-01-2013,16:33:32,'2013-01-01 16:33:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,401,711,200,www.google.com,Mozilla/5.0,virtualhost2,server1,error,Authorization Required: /var/www/favcon.php
localhost2,01-01-2013,16:39:32,'2013-01-01 16:39:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,597,629,www.google.com,Mozilla/5.0,virtualhost2,server1,,
localhost4,01-01-2013,16:45:32,'2013-01-01 16:45:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,354,6746,www.google.com,Crome,virtualhost2,server1,,
localhost1,01-01-2013,16:51:32,'2013-01-01 16:51:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,408,5697,283,www.google.com,Crome,virtualhost2,server1,error,Request Timed Out: /var/www/testing.php
localhost1,01-01-2013,16:57:32,'2013-01-01 16:57:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,796,200,www.yahoo.com,Crome,virtualhost1,server1,,
localhost1,01-01-2013,17:03:32,'2013-01-01 17:03:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,675,629,www.yahoo.com,Crome,virtualhost1,server1,,
localhost1,01-01-2013,17:15:32,'2013-01-01 17:15:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,14173,283,www.timesofindia.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,17:21:32,'2013-01-01 17:21:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,430,200,www.flipkart.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,17:27:32,'2013-01-01 17:27:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,404,693,628,www.flipkart.com,Opera/9.80,virtualhost2,server1,error,File does not exist: /var/www/favicon.php
localhost2,01-01-2013,17:33:32,'2013-01-01 17:33:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,403,294,6747,www.ebay.com,Opera/9.80,virtualhost2,server1,error,client denied by server configuration: /var/www/fa
localhost2,01-01-2013,17:39:32,'2013-01-01 17:39:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,3614,283,www.ebay.com,Opera/9.80,virtualhost2,server1,,
localhost2,01-01-2013,17:45:32,'2013-01-01 17:45:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,321,200,www.amazon.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,17:51:32,'2013-01-01 17:51:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,236,628,www.amazon.com,Mozilla/5.0,virtualhost2,server1,,
localhost4,01-01-2013,17:57:32,'2013-01-01 17:57:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,277,6746,www.4shared.com,Crome,virtualhost1,server1,,
localhost2,01-01-2013,18:09:32,'2013-01-01 18:09:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,304,295,200,www.4shared.com,Crome,virtualhost1,server1,,
localhost4,01-01-2013,18:15:32,'2013-01-01 18:15:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,414,245,627,www.4shared.com,IE8,virtualhost2,server1,error,Request URI Too Long: /var/www/testphp.php
localhost1,01-01-2013,18:21:32,'2013-01-01 18:21:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,264,6746,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,18:27:32,'2013-01-01 18:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,3160,283,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,18:33:32,'2013-01-01 18:33:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,249,200,www.google.com,Opera/9.80,virtualhost2,server1,,
localhost1,01-01-2013,18:39:32,'2013-01-01 18:39:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,206,629,www.yahoo.com,Opera/9.80,virtualhost2,server1,,
localhost3,01-01-2013,18:45:32,'2013-01-01 18:45:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,278,6746,www.yahoo.com,Mozilla/5.0,virtualhost2,server1,,
localhost3,01-01-2013,18:51:32,'2013-01-01 18:51:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,400,4435,283,www.yahoo.com,Mozilla/5.0,virtualhost1,server1,error,Bad Request
localhost3,01-01-2013,18:57:32,'2013-01-01 18:57:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,272,200,www.yahoo.com,Mozilla/5.0,virtualhost1,server1,,
localhost3,01-01-2013,19:03:32,'2013-01-01 19:03:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,246,629,www.timesofindia.com,IE8,virtualhost1,server1,,
localhost4,01-01-2013,19:09:32,'2013-01-01 19:09:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,304,281,6746,www.timesofindia.com,IE8,virtualhost1,server1,,
localhost4,01-01-2013,19:15:32,'2013-01-01 19:15:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,401,3270,283,www.timesofindia.com,IE8,virtualhost1,server1,error,Authorization Required: /var/www/favcon.php
localhost4,01-01-2013,19:21:32,'2013-01-01 19:21:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,408,241,200,www.timesofindia.com,Opera/9.80,virtualhost2,server1,error,Request Timed Out: /var/www/testing.php
localhost4,01-01-2013,19:27:32,'2013-01-01 19:27:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,304,193,629,www.flipkart.com,Opera/9.80,virtualhost2,server1,,
localhost5,01-01-2013,19:33:32,'2013-01-01 19:33:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,423,6746,www.flipkart.com,Opera/9.80,virtualhost1,server1,,
localhost5,01-01-2013,19:45:32,'2013-01-01 19:45:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,417,200,www.flipkart.com,Crome,virtualhost1,server1,,
localhost5,01-01-2013,19:51:32,'2013-01-01 19:51:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,404,212,629,www.ebay.com,Crome,virtualhost1,server1,error,File does not exist: /var/www/favicon.php
localhost2,01-01-2013,19:57:32,'2013-01-01 19:57:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,347,6746,www.ebay.com,IE8,virtualhost2,server1,,
localhost4,01-01-2013,20:03:32,'2013-01-01 20:03:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,3903,283,www.ebay.com,IE8,virtualhost1,server1,,
localhost1,01-01-2013,20:09:32,'2013-01-01 20:09:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,290,200,www.ebay.com,IE8,virtualhost2,server1,,
localhost1,01-01-2013,20:15:32,'2013-01-01 20:15:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,678,629,www.amazon.com,Mozilla/5.0,virtualhost2,server1,,
localhost1,01-01-2013,20:21:32,'2013-01-01 20:21:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,403,366,6746,www.amazon.com,Crome,virtualhost2,server1,error,client denied by server configuration: /var/www/fa
localhost2,01-01-2013,20:27:32,'2013-01-01 20:27:32',\GET /status.php HTTP/1.0\,HTTP/1.0,GET,200,6581,283,www.amazon.com,Crome,virtualhost2,server1,,
localhost2,01-01-2013,20:33:32,'2013-01-01 20:33:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,651,200,www.amazon.com,Crome,virtualhost1,server1,,
localhost2,01-01-2013,20:39:32,'2013-01-01 20:39:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,264,629,www.4shared.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,20:45:32,'2013-01-01 20:45:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,304,356,6743,www.4shared.com,IE8,virtualhost1,server1,,
localhost4,01-01-2013,20:57:32,'2013-01-01 20:57:32',\GET /testphp.php HTTP/1.0\,HTTP/1.0,GET,200,865,200,www.4shared.com,IE8,virtualhost1,server1,,
localhost5,01-01-2013,21:03:32,'2013-01-01 21:03:32',\GET /server-status?auto HTTP/,HTTP/1.0,GET,200,317,629,www.4shared.com,IE8,virtualhost1,server1,,
localhost2,01-01-2013,21:09:32,'2013-01-01 21:09:32',\GET /server-status HTTP/1.0\,HTTP/1.0,GET,200,290,6746,www.facebook.com,Opera/9.80,virtualhost2,server1,,
