remoteip,date,date1,time,destination,req_method,status,distance,delay,user_agent,referal,requests,error_level,Response_time,error_message
127.0.0.1,1010620,30-11-2012,13:46:58,HTTP/1.1,GET,200,46404,2657,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,214,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010620,30-11-2012,13:46:58,HTTP/1.1,GET,200,148873,15682,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,152,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 11
127.0.0.1,1010625,30-11-2012,13:46:58,HTTP/1.1,GET,304,208,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,336,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 12
127.0.0.1,1010625,30-11-2012,13:46:58,HTTP/1.1,GET,304,188,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,161,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010625,30-11-2012,13:46:58,HTTP/1.1,GET,304,128,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,166,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 12
127.0.0.1,1010625,30-11-2012,13:46:58,HTTP/1.1,GET,304,113,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,154,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 13
127.0.0.1,1010630,30-11-2012,13:46:58,HTTP/1.1,GET,304,127,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,188,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010630,30-11-2012,13:46:58,HTTP/1.1,GET,304,124,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,190,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 13
127.0.0.1,1010630,30-11-2012,13:46:58,HTTP/1.1,GET,304,167,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,157,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 14
127.0.0.1,1010630,30-11-2012,13:46:58,HTTP/1.1,GET,304,100,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,530,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010630,30-11-2012,13:47:01,HTTP/1.1,POST,200,112326,11623,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,202,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 14
127.0.0.1,1010630,30-11-2012,13:55:11,HTTP/1.1,GET,304,291,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,132,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 15
127.0.0.1,1010630,30-11-2012,13:55:11,HTTP/1.1,GET,304,169,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,462,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010630,30-11-2012,13:55:11,HTTP/1.1,GET,304,297,213,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,507,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 15
127.0.0.1,1010630,30-11-2012,13:55:11,HTTP/1.1,GET,304,296,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,455,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 16
127.0.0.1,1010630,30-11-2012,13:55:11,HTTP/1.1,GET,304,293,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,187,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010630,30-11-2012,13:55:14,HTTP/1.1,POST,302,39779,556,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,191,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 16
127.0.0.1,1010630,30-11-2012,13:55:14,HTTP/1.1,GET,200,43209,1705,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,569,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 17
127.0.0.1,1010635,30-11-2012,13:55:14,HTTP/1.1,GET,304,191,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,249,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010635,30-11-2012,13:55:14,HTTP/1.1,GET,304,194,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,209,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 17
127.0.0.1,1010635,30-11-2012,13:55:14,HTTP/1.1,GET,304,305,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,148,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 18
127.0.0.1,1010635,30-11-2012,13:55:14,HTTP/1.1,GET,200,41474,2099,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,227,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010640,30-11-2012,13:55:14,HTTP/1.1,GET,200,105796,7404,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,505,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 18
127.0.0.1,1010640,30-11-2012,13:55:15,HTTP/1.1,GET,304,224,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,228,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 19
127.0.0.1,1010640,30-11-2012,13:55:15,HTTP/1.1,GET,304,184,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,236,"\GET /phpmyadmin/sql.php?db=ab"""
ip6-localhost,1010640,30-11-2012,13:55:15,HTTP/1.1,GET,304,160,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,165,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 19
localhost,1010645,30-11-2012,13:55:15,HTTP/1.1,GET,304,134,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,249,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 20
localhost,1010645,30-11-2012,13:55:15,HTTP/1.1,GET,304,189,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,213,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010645,30-11-2012,13:55:15,HTTP/1.1,GET,304,147,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,535,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 20
localhost,1010645,30-11-2012,13:55:15,HTTP/1.1,GET,304,171,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,485,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 21
127.0.0.1,1010645,30-11-2012,13:55:18,HTTP/1.1,GET,200,61204,1719,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,318,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010645,30-11-2012,13:55:18,HTTP/1.1,GET,304,250,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,296,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 21
ip6-localhost,1010645,30-11-2012,13:55:18,HTTP/1.1,GET,304,174,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,548,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 22
localhost,1010647,30-11-2012,13:55:18,HTTP/1.1,GET,304,155,211,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,558,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010650,30-11-2012,13:55:18,HTTP/1.1,GET,200,43670,2638,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,496,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 22
localhost,1010650,30-11-2012,13:55:18,HTTP/1.1,GET,200,72502,4955,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,287,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 23
localhost,1010653,30-11-2012,13:55:18,HTTP/1.1,GET,304,181,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,295,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010655,30-11-2012,13:55:18,HTTP/1.1,GET,304,152,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,530,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 23
127.0.0.1,1010655,30-11-2012,13:55:18,HTTP/1.1,GET,304,151,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,419,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 24
ip6-localhost,1010700,30-11-2012,13:55:18,HTTP/1.1,GET,304,116,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,337,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010700,30-11-2012,13:55:18,HTTP/1.1,GET,304,125,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,178,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 24
localhost,1010700,30-11-2012,13:55:18,HTTP/1.1,GET,304,104,211,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",notify,156,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 25
localhost,1010700,30-11-2012,13:55:18,HTTP/1.1,GET,304,119,211,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",notify,446,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,200,159594,15695,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",notify,537,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 25
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,207,210,Mozilla/5.0 (X11,pintrest.com,"\GET /access.php HTTP/1.0\""""",notify,463,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 26
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,148,212,Mozilla/5.0 (X11,amazon.com,"\GET /access.php HTTP/1.0\""""",notify,184,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,98,210,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",notify,190,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 26
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,122,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,543,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 27
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,95,210,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",warning,556,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,123,211,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",error,496,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 27
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,139,211,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",error,177,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 28
127.0.0.1,1010700,30-11-2012,13:55:21,HTTP/1.1,GET,304,287,212,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",notify,177,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010700,30-11-2012,13:55:37,HTTP/1.0,OPTIONS,200,267,152,Apache/2.2.20 (Ubuntu) (inter,pintrest.com,"\GET /access.php HTTP/1.0\""""",notify,531,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 28
ip6-localhost,1010700,30-11-2012,14:22:59,HTTP/1.1,GET,200,32747,2950,Mozilla/5.0 (X11,amazon.com,"\GET /access.php HTTP/1.0\""""",notify,533,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 29
localhost,1010700,30-11-2012,14:22:59,HTTP/1.1,GET,304,193,212,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",notify,465,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010700,30-11-2012,14:22:59,HTTP/1.1,GET,304,174,213,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",notify,399,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 29
localhost,1010700,30-11-2012,14:22:59,HTTP/1.1,GET,304,353,211,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",notify,181,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 30
localhost,1010700,30-11-2012,14:22:59,HTTP/1.1,GET,304,167,211,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",notify,572,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010704,30-11-2012,14:22:59,HTTP/1.1,GET,304,111,211,Mozilla/5.0 (X11,pintrest.com,"\GET /access.php HTTP/1.0\""""",notify,396,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 30
127.0.0.1,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,316,211,Mozilla/5.0 (X11,amazon.com,"\GET /access.php HTTP/1.0\""""",notify,532,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 31
ip6-localhost,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,158,211,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",notify,177,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.2,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,131,188,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,178,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 31
ip6-localhost,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,200,18284,5336,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",notify,539,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 32
localhost,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,200,28278,9391,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",notify,533,"\GET /phpmyadmin/sql.php?db=ab"""
localhost,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,191,187,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",notify,534,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 32
localhost,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,237,187,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",notify,177,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 33
127.0.0.1,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,304,119,186,Mozilla/5.0 (X11,pintrest.com,"\GET /access.php HTTP/1.0\""""",error,175,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010705,30-11-2012,14:22:59,HTTP/1.1,GET,200,26000,2953,Mozilla/5.0 (X11,amazon.com,"\GET /access.php HTTP/1.0\""""",error,560,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 33
127.0.0.1,1010705,30-11-2012,14:23:00,HTTP/1.1,GET,304,174,212,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",error,510,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 34
127.0.0.1,1010706,30-11-2012,14:23:00,HTTP/1.1,GET,304,185,210,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",error,537,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010708,30-11-2012,14:23:00,HTTP/1.1,GET,304,122,210,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",error,211,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 34
127.0.0.1,1010710,30-11-2012,14:23:00,HTTP/1.1,GET,304,136,211,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",error,435,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 35
127.0.0.1,1010710,30-11-2012,14:23:00,HTTP/1.1,GET,304,125,211,Mozilla/5.0 (X11,pintrest.com,"\GET /access.php HTTP/1.0\""""",error,494,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010710,30-11-2012,14:23:15,HTTP/1.0,OPTIONS,200,264,152,Apache/2.2.20 (Ubuntu) (inter,amazon.com,"\GET /access.php HTTP/1.0\""""",error,494,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 35
127.0.0.1,1010710,30-11-2012,14:26:43,HTTP/1.1,POST,302,38990,657,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",error,465,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 36
127.0.0.1,1010710,30-11-2012,14:26:43,HTTP/1.1,GET,200,40525,1733,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,483,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010710,30-11-2012,14:26:43,HTTP/1.1,GET,304,245,212,Mozilla/5.0 (X11,facebook,"\GET /access.php HTTP/1.0\""""",error,429,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 36
127.0.0.1,1010715,30-11-2012,14:26:43,HTTP/1.1,GET,304,104,210,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",error,495,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 37
127.0.0.1,1010715,30-11-2012,14:26:43,HTTP/1.1,GET,304,112,211,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",error,492,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010715,30-11-2012,14:26:43,HTTP/1.1,GET,200,41392,2656,Mozilla/5.0 (X11,myspace.com,"\GET /access.php HTTP/1.0\""""",error,433,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 37
127.0.0.1,1010715,30-11-2012,14:26:43,HTTP/1.1,GET,200,147516,15711,Mozilla/5.0 (X11,pintrest.com,"\GET /access.php HTTP/1.0\""""",error,436,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 38
127.0.0.1,1010715,30-11-2012,14:26:44,HTTP/1.1,GET,304,485,210,Mozilla/5.0 (X11,amazon.com,"\GET /access.php HTTP/1.0\""""",error,436,"\GET /phpmyadmin/sql.php?db=ab"""
127.0.0.1,1010715,30-11-2012,14:26:44,HTTP/1.1,GET,304,325,212,Mozilla/5.0 (X11,webworld.com,"\GET /access.php HTTP/1.0\""""",error,493,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 38
127.0.0.1,1010715,30-11-2012,14:26:44,HTTP/1.1,GET,304,318,210,Mozilla/5.0 (X11,google.com,"\GET /access.php HTTP/1.0\""""",error,494,PHP Warning:  fopen(http://localhost/parsescor.php): failed to open stream: HTTP request failed! HTTP/1.1 404 Not Found\\r\\n in /var/www/testing.php on line 39
127.0.0.1,1010715,30-11-2012,14:26:44,HTTP/1.1,GET,304,276,212,Mozilla/5.0 (X11,yahoo.com,"\GET /access.php HTTP/1.0\""""",error,436,"\GET /phpmyadmin/sql.php?db=ab"""
